unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
87E1551E-533C-6405-E053-6C04A8C0B2EE,480000,10/04/2019,LE7 9GR,D,N,F,9,WEIR LANE,HOUGHTON ON THE HILL,LEICESTER,HARBOROUGH,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-533C-6405-E053-6C04A8C0B2EE/current,
87E1551E-5480-6405-E053-6C04A8C0B2EE,248000,12/04/2019,LE7 9HJ,D,N,F,23,UPPINGHAM ROAD,HOUGHTON ON THE HILL,LEICESTER,HARBOROUGH,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-5480-6405-E053-6C04A8C0B2EE/current,
8F1B26BD-E2CB-53DB-E053-6C04A8C03649,405000,11/04/2019,LE7 9LX,D,Y,F,3,STACEY AVENUE,HOUGHTON ON THE HILL,LEICESTER,HARBOROUGH,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8F1B26BD-E2CB-53DB-E053-6C04A8C03649/current,
919FEC05-7236-9A90-E053-6C04A8C0A300,295000,26/04/2019,LE7 9LX,D,Y,F,8,STACEY AVENUE,HOUGHTON ON THE HILL,LEICESTER,HARBOROUGH,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/919FEC05-7236-9A90-E053-6C04A8C0A300/current,
8A78B2AF-BFB6-5CB0-E053-6B04A8C0F504,550000,18/04/2019,LE7 9LX,D,Y,F,12,STACEY AVENUE,HOUGHTON ON THE HILL,LEICESTER,HARBOROUGH,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BFB6-5CB0-E053-6B04A8C0F504/current,
8F1B26BD-E1F3-53DB-E053-6C04A8C03649,295000,12/04/2019,LE7 9LX,D,Y,F,15,STACEY AVENUE,HOUGHTON ON THE HILL,LEICESTER,HARBOROUGH,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8F1B26BD-E1F3-53DB-E053-6C04A8C03649/current,
8CAC1318-699F-0253-E053-6B04A8C08E51,250000,18/04/2019,LE7 9PP,S,N,F,84,MAIN STREET,BUSHBY,LEICESTER,HARBOROUGH,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8CAC1318-699F-0253-E053-6B04A8C08E51/current,
8A78B2AF-BE02-5CB0-E053-6B04A8C0F504,245000,18/04/2019,LE7 9RY,T,N,F,3,WINKADALE CLOSE,BUSHBY,LEICESTER,HARBOROUGH,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BE02-5CB0-E053-6B04A8C0F504/current,
8A78B2AF-BFB2-5CB0-E053-6B04A8C0F504,195000,25/04/2019,LE7 9UD,S,N,F,33,PULFORD DRIVE,SCRAPTOFT,LEICESTER,HARBOROUGH,LEICESTERSHIRE,B,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BFB2-5CB0-E053-6B04A8C0F504/current,
8CAC1318-6C15-0253-E053-6B04A8C08E51,264950,18/04/2019,LE7 9UP,D,Y,F,21,CAMPION WAY,THURNBY,LEICESTER,HARBOROUGH,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8CAC1318-6C15-0253-E053-6B04A8C08E51/current,
